"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030018","GO:0030018","Z disc","2/96","118/18122",0.129479489940496,0.339553356272526,0.292058999865781,"OBSCN/IGFN1",2
"GO:0044448","GO:0044448","cell cortex part","2/96","121/18122",0.134835703605943,0.350028038653813,0.301068556695887,"ASPH/MYH9",2
"GO:0034399","GO:0034399","nuclear periphery","2/96","122/18122",0.136632241530512,0.351144860733417,0.302029165488501,"DGKQ/TP53",2
"GO:0030990","GO:0030990","intraciliary transport particle","1/96","29/18122",0.142859320129355,0.359949463463178,0.309602241766403,"WDR35",1
"GO:0031430","GO:0031430","M band","1/96","29/18122",0.142859320129355,0.359949463463178,0.309602241766403,"OBSCN",1
"GO:0030131","GO:0030131","clathrin adaptor complex","1/96","30/18122",0.147407239505223,0.364265966854252,0.313314982754016,"AP1G1",1
"GO:0030686","GO:0030686","90S preribosome","1/96","30/18122",0.147407239505223,0.364265966854252,0.313314982754016,"HEATR1",1
"GO:0090568","GO:0090568","nuclear transcriptional repressor complex","1/96","31/18122",0.151931278030952,0.371028094993533,0.31913127154881,"SALL2",1
"GO:0043296","GO:0043296","apical junction complex","2/96","131/18122",0.153031043071263,0.371028094993533,0.31913127154881,"MICALL2/FRMD4A",2
"GO:0031674","GO:0031674","I band","2/96","132/18122",0.154876812139218,0.371993838502607,0.319961933588153,"OBSCN/IGFN1",2
"GO:0008305","GO:0008305","integrin complex","1/96","32/18122",0.156431559790337,0.372249174686266,0.320181555126421,"MYH9",1
"GO:0001772","GO:0001772","immunological synapse","1/96","33/18122",0.160908208229261,0.372553238873153,0.320443088934516,"MYH9",1
"GO:0016460","GO:0016460","myosin II complex","1/96","33/18122",0.160908208229261,0.372553238873153,0.320443088934516,"MYH9",1
"GO:0032040","GO:0032040","small-subunit processome","1/96","33/18122",0.160908208229261,0.372553238873153,0.320443088934516,"HEATR1",1
"GO:0031514","GO:0031514","motile cilium","2/96","137/18122",0.164169315899045,0.376087309405734,0.323482838317445,"TAS2R43/ODF4",2
"GO:0032391","GO:0032391","photoreceptor connecting cilium","1/96","34/18122",0.165361346158941,0.376087309405734,0.323482838317445,"MYO7A",1
"GO:0005669","GO:0005669","transcription factor TFIID complex","1/96","35/18122",0.169791095759159,0.376175100087103,0.323558349450304,"TP53",1
"GO:0008180","GO:0008180","COP9 signalosome","1/96","35/18122",0.169791095759159,0.376175100087103,0.323558349450304,"MYH9",1
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","1/96","35/18122",0.169791095759159,0.376175100087103,0.323558349450304,"MYH9",1
"GO:0030496","GO:0030496","midbody","2/96","145/18122",0.179235346768639,0.393704992474702,0.338636282693784,"BIRC6/CRMP1",2
"GO:0033017","GO:0033017","sarcoplasmic reticulum membrane","1/96","38/18122",0.182941226976613,0.398439790957538,0.34270881057171,"ASPH",1
"GO:0005891","GO:0005891","voltage-gated calcium channel complex","1/96","39/18122",0.187278632540108,0.40445889548578,0.347886004718467,"CACNA1G",1
"GO:0001917","GO:0001917","photoreceptor inner segment","1/96","40/18122",0.191593251313329,0.410328879896046,0.352934936629816,"MYO7A",1
"GO:0031672","GO:0031672","A band","1/96","41/18122",0.195885201754316,0.416053692982307,0.357859002769955,"OBSCN",1
"GO:0001726","GO:0001726","ruffle","2/96","156/18122",0.200275402705468,0.418108434345486,0.359626341235109,"CYTH3/MYH9",2
